,species,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,3,557375.0,3061.537348151207,706,1064,0.6635338345864662,1.3477174254317112,16.81634614779049,31.670446354166668,50.582290625,25.202103125,52.91786733662856,75.8063013344078,46.656067667134124,14.257583891123486,0.998085317035892,0.7675692352817095,4.126189576915612
0,3,654248.5,3306.9212515354156,1106,832,1.3293269230769231,1.4064869846854826,16.714945718418246,33.037360416666665,54.897726041666665,25.413010416666665,48.94469620388846,74.98534090376671,40.77377572630547,14.727916960660798,0.9981883967287684,0.7324632443999695,4.589101356960633
0,3,518099.0,2945.385111093521,694,1041,0.6666666666666666,1.3944323382210735,16.74447055997289,34.765628125,52.1706921875,28.901971875,59.31428825045061,78.63057894959162,55.241847596757445,14.390036261793021,0.9979641645525223,0.7793832008546541,4.053725650784335
0,3,752767.0,3480.477601289749,966,1097,0.8805834092980857,1.407742369152739,16.092262722834086,36.66240104166667,61.9345109375,27.891044791666666,48.48913898864365,76.19075533266393,39.43600885469491,15.104978850026681,0.9982508271644475,0.6964476950284992,5.087409511094631
0,3,588986.0,3207.659278035164,1127,736,1.53125,1.408305121004574,17.469138560110206,30.381920833333332,50.216655208333336,23.525465625,48.69084610900085,73.87306005701502,40.98391441877265,14.633980897749291,0.99809895419142,0.7568732505747987,4.224452061524882
0,3,469189.5,2749.2459408044815,835,755,1.1059602649006623,1.3436468633675733,16.109382761186936,23.06164375,38.83426145833333,17.577390104166668,42.62735622820651,67.4722167166047,34.461168127160875,13.208196832148365,0.9980291109900741,0.8030170447640672,3.4478696827829545
0,3,672234.5,3323.2358362674713,1074,841,1.27705112960761,1.3436293436293436,16.428636768050968,32.7630796875,55.344394791666666,24.9197015625,47.207154676168464,74.50796738393682,38.24181518604254,14.907585160552202,0.9981926855556104,0.7260723437002201,4.640802955464592
0,3,477651.5,2799.044930100441,699,916,0.7631004366812227,1.3404835952572116,16.4024451314839,28.682011458333335,44.63825052083333,23.173984375,52.639876786320784,73.46366669513222,47.2796926793515,13.590201233030168,0.9979846268378504,0.7963755511653375,3.7018536651337985
0,3,453620.5,2747.7942748069763,925,685,1.3503649635036497,1.3968173836940792,16.644691711820776,28.16085625,43.31157135416667,22.926421875,53.55166333644707,73.54607063673603,48.42882105911917,13.279500454699324,0.9979609078269112,0.806595638645645,3.5642990994507397
0,3,854412.0,3695.403567314148,1097,1083,1.0129270544783011,1.3904895998651705,15.982930395778771,40.8008890625,69.22250104166666,30.925093229166666,48.09177422453589,76.7759581750897,38.55109786748211,23.119833558602057,0.9974000926164677,0.6371776512647572,5.784776688353532
0,3,442907.0,2597.502861261368,802,777,1.0321750321750323,1.4069635386209747,15.233493971106785,25.384494270833333,40.6945921875,21.77174114583333,50.52534662063059,71.34208422661375,46.295740866462644,16.689689104742847,0.9975027393952218,0.8094926660434016,3.5310523708164245
0,3,534967.5,2861.426743388176,886,844,1.0497630331753554,1.3978120166178318,15.305159673769083,25.4467390625,43.8134078125,21.0669890625,44.06796617089571,69.81466451077019,37.90106940370776,17.69202241656587,0.9976661005624122,0.773415277831215,4.0041349400052715
0,3,563575.5,2917.5100088119507,854,914,0.9343544857768052,1.3850069777696157,15.103326265101852,30.461936458333334,49.6859296875,25.875616666666666,51.66563985659904,74.3425768679001,46.900815520571946,18.16464488182686,0.9976669447686125,0.760875562054249,4.308628144930469
0,3,390904.0,2448.708918452263,811,669,1.2122571001494769,1.387959703661257,15.339253032221851,26.506902604166665,39.846341145833335,23.388597916666665,55.52050299082362,72.60812128085745,52.540198162065984,16.054684558292927,0.9973588779109713,0.8288196050698872,3.3194256055202143
0,3,488904.0,2731.894783139229,772,907,0.8511576626240352,1.432191186817862,15.265264972557668,30.2981109375,47.34779010416667,26.320332291666666,56.280554897375026,76.30029268908005,52.51088679516453,17.510040790258827,0.9975475274677766,0.7913227170797754,3.883146827547304
